filename,chip,contact,device_id,condition,run_number,timestamp,file_type,smu_channel,n_points,dual_sweep,sweep_sign,v_max_V,switching_state,v_set_V,v_reset_V,i_on_A,i_off_A,on_off_ratio,hysteresis_window_V,current_limit_A,error
Chip#14-FA4-T12-I-V Characterizer-1 Run 108 2024-08-30T17.23.35.csv,,,,,,,,SMU-2,3999,Enabled,-1,15.0,already_on,,,0.01309783,3.510173e-08,373139.24,,0.02,
Chip#14-FA4-T12-I-V Characterizer-1 Run 109 2024-08-30T17.24.03.csv,,,,,,,,SMU-2,3999,Enabled,-1,15.0,already_on,,,0.01324841,2.481557e-08,533874.79,,0.02,
Chip#14-FA4-T12-I-V Characterizer-1 Run 110 2024-08-30T17.24.30.csv,,,,,,,,SMU-2,3999,Enabled,-1,15.0,already_on,,,0.01360121,2.663889e-08,510577.13,,0.02,
Chip#14-FA4-T12-I-V Characterizer-1 Run 111 2024-08-30T17.24.58.csv,,,,,,,,SMU-2,3999,Enabled,-1,15.0,already_on,,,0.01319701,2.591364e-08,509268.59,,0.02,
Chip#14-FA4-T12-I-V Characterizer-1 Run 112 2024-08-30T17.25.25.csv,,,,,,,,SMU-2,3999,Enabled,-1,15.0,already_on,,,0.01305072,9.562264e-09,1364815.28,,0.02,
Chip#14-FA4-T12-I-V Characterizer-1 Run 113 2024-08-30T17.26.07.csv,,,,,,,,SMU-2,3999,Enabled,1,15.0,already_on,,,0.007969419,2.46317e-08,323543.15,,0.02,
Chip#14-FA4-T12-I-V Characterizer-1 Run 114 2024-08-30T17.26.35.csv,,,,,,,,SMU-2,3999,Enabled,1,15.0,already_on,,,0.007609356,9.078728e-09,838152.23,,0.02,
Chip#14-FA4-T12-I-V Characterizer-1 Run 115 2024-08-30T17.27.02.csv,,,,,,,,SMU-2,3999,Enabled,1,15.0,already_on,,,0.007649963,8.052995e-09,949952.58,,0.02,
Chip#14-FA4-T12-I-V Characterizer-1 Run 116 2024-08-30T17.27.31.csv,,,,,,,,SMU-2,3999,Enabled,1,15.0,already_on,,,0.007640026,1.136797e-08,672066.25,,0.02,
Chip#14-FA4-T12-I-V Characterizer-1 Run 118 2024-08-30T17.28.08.csv,,,,,,,,SMU-2,3999,Enabled,-1,15.0,already_on,,,0.01191469,9.452465e-09,1260485.51,,0.02,
Chip#14-FA4-T12-I-V Characterizer-1 Run 119 2024-08-30T17.28.33.csv,,,,,,,,SMU-2,3999,Enabled,-1,15.0,already_on,,,0.0122548,1.524444e-08,803886.58,,0.02,
Chip#14-FA4-T12-I-V Characterizer-1 Run 120 2024-08-30T17.29.07.csv,,,,,,,,SMU-2,3999,Enabled,1,20.0,already_on,,,0.01018761,1.777255e-08,573221.73,,0.02,
Chip#14-FA4-T12-I-V Characterizer-1 Run 122 2024-08-30T17.29.45.csv,,,,,,,,SMU-2,3999,Enabled,-1,20.0,already_on,,,0.01120503,9.570194e-09,1170825.92,,0.02,
Chip#14-FA4-T12-I-V Characterizer-1 Run 123 2024-08-30T17.30.14.csv,,,,,,,,SMU-2,3999,Enabled,1,20.0,already_on,,,0.01004993,8.755027e-09,1147903.73,,0.02,
Chip#14-FA4-T12-I-V Characterizer-1 Run 124 2024-08-30T17.30.42.csv,,,,,,,,SMU-2,3999,Enabled,1,20.0,already_on,,,0.01004132,1.094406e-08,917513.62,,0.02,
Chip#14-FA4-T12-I-V Characterizer-1 Run 126 2024-08-30T17.31.31.csv,,,,,,,,SMU-2,3999,Enabled,-1,20.0,already_on,,,0.01077888,1.447322e-08,744746.37,,0.02,
Chip#14-FA4-T12-I-V Characterizer-1 Run 127 2024-08-30T17.31.56.csv,,,,,,,,SMU-2,3999,Enabled,-1,20.0,already_on,,,0.01126527,1.739461e-08,647629.56,,0.02,
Chip#14-FA4-T12-I-V Characterizer-1 Run 128 2024-08-30T17.32.42.csv,,,,,,,,SMU-2,3999,Enabled,1,20.0,already_on,,,0.009572417,1.818115e-08,526502.4,,0.02,
Chip#14-FA4-T12-I-V Characterizer-1 Run 99 2024-08-30T17.18.48.csv,,,,,,,,SMU-2,3999,Enabled,1,12.0,already_on,,,0.009491591,5.968343e-09,1590322.61,,0.01,
Chip#14-FB4-T12-I-V Characterizer-1 Run 81 2024-08-30T17.02.14.csv,,,,,,,,SMU-2,3999,Enabled,1,12.0,switched,3.3737,7.7019,7.849974e-07,3.020763e-13,2598672.16,4.3282,0.01,
Chip#14-FB4-T12-I-V Characterizer-1 Run 82 2024-08-30T17.03.25.csv,,,,,,,,SMU-2,3999,Enabled,1,2.0,already_on,,,0.001375101,1.414635e-08,97205.32,,0.01,
Chip#14-FB4-T12-I-V Characterizer-1 Run 83 2024-08-30T17.05.07.csv,,,,,,,,SMU-2,3999,Enabled,1,5.0,already_on,,,0.003344465,5.321453e-09,628487.16,,0.01,
Chip#14-FB4-T12-I-V Characterizer-1 Run 84 2024-08-30T17.05.47.csv,,,,,,,,SMU-2,3999,Enabled,-1,5.0,already_on,,,0.003433382,2.179713e-08,157515.32,,0.01,
Chip#14-FB4-T12-I-V Characterizer-1 Run 85 2024-08-30T17.06.24.csv,,,,,,,,SMU-2,3999,Enabled,1,12.0,already_on,,,0.007106955,1.286441e-08,552450.86,,0.01,
Chip#14-FB4-T12-I-V Characterizer-1 Run 86 2024-08-30T17.07.00.csv,,,,,,,,SMU-2,3999,Enabled,1,12.0,already_on,,,0.006496627,5.614007e-09,1157217.43,,0.01,
Chip#14-FB4-T12-I-V Characterizer-1 Run 87 2024-08-30T17.07.41.csv,,,,,,,,SMU-2,3999,Enabled,-1,12.0,already_on,,,0.006351737,8.468598e-09,750034.02,,0.01,
Chip#14-FB4-T12-I-V Characterizer-1 Run 88 2024-08-30T17.08.35.csv,,,,,,,,SMU-2,3999,Enabled,-1,12.0,already_on,,,0.006048995,1.225153e-08,493733.78,,0.01,
Chip#14-FB4-T12-I-V Characterizer-1 Run 89 2024-08-30T17.10.10.csv,,,,,,,,SMU-2,3999,Enabled,1,12.0,already_on,,,0.006080559,8.421626e-09,722017.27,,0.01,
Chip#14-FB4-T12-I-V Characterizer-1 Run 90 2024-08-30T17.10.42.csv,,,,,,,,SMU-2,3999,Enabled,1,12.0,already_on,,,0.006106024,1.516272e-08,402699.81,,0.01,
Chip#14-FB4-T12-I-V Characterizer-1 Run 91 2024-08-30T17.11.19.csv,,,,,,,,SMU-2,3999,Enabled,-1,15.0,already_on,,,0.007986135,1.462644e-08,546006.64,,0.01,
Chip#14-FB4-T12-I-V Characterizer-1 Run 92 2024-08-30T17.11.51.csv,,,,,,,,SMU-2,3999,Enabled,-1,15.0,already_on,,,0.009359234,3.469619e-09,2697482.21,,0.01,
Chip#14-FB4-T12-I-V Characterizer-1 Run 93 2024-08-30T17.12.21.csv,,,,,,,,SMU-2,3999,Enabled,-1,15.0,already_on,,,0.009162175,1.57041e-08,583425.8,,0.01,
Chip#14-FB4-T12-I-V Characterizer-1 Run 94 2024-08-30T17.12.54.csv,,,,,,,,SMU-2,3999,Enabled,1,12.0,already_on,,,0.006586874,1.24405e-08,529470.12,,0.01,
Chip#14-FB4-T12-I-V Characterizer-1 Run 95 2024-08-30T17.13.22.csv,,,,,,,,SMU-2,3999,Enabled,1,12.0,already_on,,,0.005552392,9.173183e-09,605285.22,,0.01,
Chip#14-FB4-T12-I-V Characterizer-1 Run 96 2024-08-30T17.13.56.csv,,,,,,,,SMU-2,3999,Enabled,1,15.0,already_on,,,0.00633091,3.586539e-09,1765186.31,,0.01,
Chip#14-FB4-T12-I-V Characterizer-1 Run 97 2024-08-30T17.14.29.csv,,,,,,,,SMU-2,3999,Enabled,-1,15.0,already_on,,,0.008431914,3.299089e-09,2555831.24,,0.01,
Chip#14-FB4-T12-I-V Characterizer-1 Run 98 2024-08-30T17.15.05.csv,,,,,,,,SMU-2,3999,Enabled,1,12.0,already_on,,,0.00632364,3.89237e-09,1624624.52,,0.01,
Chip#14-FC1-T12-I-V Characterizer-1 Run 45 2024-08-30T16.21.54.csv,,,,,,,,SMU-2,3999,Enabled,1,0.4,already_on,,,2.542496e-12,3.254413e-14,78.12,,0.01,
Chip#14-FC1-T24-I-V Characterizer-1 Run 46 2024-08-30T16.23.04.csv,,,,,,,,SMU-2,3999,Enabled,1,0.4,already_on,,,2.709866e-12,3.254413e-14,83.27,,0.01,
Chip#14-FC1-T24-I-V Characterizer-1 Run 47 2024-08-30T16.23.42.csv,,,,,,,,SMU-2,3999,Enabled,1,0.4,already_on,,,2.550864e-12,3.254413e-14,78.38,,0.01,
Chip#14-FC1-T24-I-V Characterizer-1 Run 48 2024-08-30T16.24.54.csv,,,,,,,,SMU-2,3999,Enabled,1,0.4,already_on,,,2.542496e-12,3.254413e-14,78.12,,0.01,
Chip#14-FC1-T24-I-V Characterizer-1 Run 49 2024-08-30T16.27.12.csv,,,,,,,,SMU-2,3999,Enabled,1,0.4,already_on,,,2.383494e-12,3.254413e-14,73.24,,0.01,
Chip#14-FC1-T24-I-V Characterizer-1 Run 51 2024-08-30T16.28.03.csv,,,,,,,,SMU-2,3999,Enabled,1,1.0,already_on,,,2.310276e-12,3.254413e-14,70.99,,0.01,
Chip#14-FC1-T24-I-V Characterizer-1 Run 52 2024-08-30T16.28.38.csv,,,,,,,,SMU-2,3999,Enabled,1,10.0,already_on,,,2.608218e-11,8.041858e-13,32.43,,0.01,
Chip#14-FC1-T24-I-V Characterizer-1 Run 53 2024-08-30T16.29.39.csv,,,,,,,,SMU-2,3999,Enabled,1,0.5,already_on,,,2.207875e-12,3.254413e-14,67.84,,0.01,
Chip#14-FC1-T24-I-V Characterizer-1 Run 54 2024-08-30T16.31.53.csv,,,,,,,,SMU-2,3999,Enabled,1,0.5,already_on,,,2.212995e-12,3.254413e-14,68.0,,0.01,
Chip#14-FC1-T24-I-V Characterizer-1 Run 55 2024-08-30T16.32.50.csv,,,,,,,,SMU-2,3999,Enabled,1,0.5,already_on,,,2.040505e-12,3.254413e-14,62.7,,0.01,
Chip#14-FC1-T24-I-V Characterizer-1 Run 56 2024-08-30T16.39.11.csv,,,,,,,,SMU-2,3999,Enabled,1,0.5,already_on,,,0.0100155,8.230879e-08,121682.02,,0.01,
Chip#14-FC4-T12-I-V Characterizer-1 Run 57 2024-08-30T16.42.57.csv,,,,,,,,SMU-2,3999,Enabled,1,0.5,already_on,,,2.207875e-12,3.254413e-14,67.84,,0.01,
Chip#14-FC4-T12-I-V Characterizer-1 Run 58 2024-08-30T16.44.45.csv,,,,,,,,SMU-2,3999,Enabled,1,0.5,already_on,,,1.873136e-12,3.254413e-14,57.56,,0.01,
Chip#14-FC4-T12-I-V Characterizer-1 Run 59 2024-08-30T16.46.07.csv,,,,,,,,SMU-2,3999,Enabled,1,0.5,already_on,,,0.0001466985,4.54794e-09,32256.04,,0.01,
Chip#14-FC4-T12-I-V Characterizer-1 Run 60 2024-08-30T16.46.49.csv,,,,,,,,SMU-2,3999,Enabled,1,10.0,already_on,,,0.002725835,4.917081e-09,554360.35,,0.01,
Chip#14-FC4-T12-I-V Characterizer-1 Run 61 2024-08-30T16.47.29.csv,,,,,,,,SMU-2,3999,Enabled,1,15.0,already_on,,,0.003451487,4.243243e-09,813407.83,,0.01,
Chip#14-FC4-T12-I-V Characterizer-1 Run 62 2024-08-30T16.48.03.csv,,,,,,,,SMU-2,3999,Enabled,1,15.0,already_on,,,0.003470371,1.042886e-09,3327661.43,,0.01,
Chip#14-FC4-T12-I-V Characterizer-1 Run 63 2024-08-30T16.48.38.csv,,,,,,,,SMU-2,3999,Enabled,-1,15.0,already_on,,,0.003784468,5.954046e-09,635612.89,,0.01,
Chip#14-FC4-T12-I-V Characterizer-1 Run 64 2024-08-30T16.49.07.csv,,,,,,,,SMU-2,3999,Enabled,-1,15.0,already_on,,,0.003889719,3.824437e-09,1017069.83,,0.01,
Chip#14-FC4-T12-I-V Characterizer-1 Run 65 2024-08-30T16.49.41.csv,,,,,,,,SMU-2,3999,Enabled,1,15.0,already_on,,,0.003386082,5.016643e-09,674969.65,,0.01,
Chip#14-FC4-T12-I-V Characterizer-1 Run 66 2024-08-30T16.50.26.csv,,,,,,,,SMU-2,3999,Enabled,-1,15.0,already_on,,,0.003873203,4.188499e-09,924723.39,,0.01,
Chip#14-FC4-T12-I-V Characterizer-1 Run 67 2024-08-30T16.50.57.csv,,,,,,,,SMU-2,3999,Enabled,-1,15.0,already_on,,,0.00399297,5.763605e-09,692790.36,,0.01,
Chip#14-FC4-T12-I-V Characterizer-1 Run 68 2024-08-30T16.51.31.csv,,,,,,,,SMU-2,3999,Enabled,-1,15.0,already_on,,,0.004055833,7.022667e-09,577534.56,,0.01,
Chip#14-FC4-T12-I-V Characterizer-1 Run 69 2024-08-30T16.52.33.csv,,,,,,,,SMU-2,3999,Enabled,1,12.0,already_on,,,0.003093123,2.721635e-09,1136494.53,,0.01,
Chip#14-FC4-T12-I-V Characterizer-1 Run 70 2024-08-30T16.53.10.csv,,,,,,,,SMU-2,3999,Enabled,1,12.0,already_on,,,0.002846258,7.71704e-09,368827.63,,0.01,
Chip#14-FC4-T12-I-V Characterizer-1 Run 71 2024-08-30T16.53.52.csv,,,,,,,,SMU-2,3999,Enabled,1,15.0,already_on,,,0.003402879,3.199528e-09,1063556.48,,0.01,
Chip#14-FC4-T12-I-V Characterizer-1 Run 72 2024-08-30T16.54.32.csv,,,,,,,,SMU-2,3999,Enabled,1,12.0,already_on,,,0.002734847,4.434594e-09,616707.42,,0.01,
Chip#14-FC4-T12-I-V Characterizer-1 Run 73 2024-08-30T16.55.20.csv,,,,,,,,SMU-2,3999,Enabled,-1,12.0,already_on,,,0.00300498,2.352494e-09,1277359.33,,0.01,
Chip#14-FC4-T12-I-V Characterizer-1 Run 74 2024-08-30T16.55.49.csv,,,,,,,,SMU-2,3999,Enabled,-1,12.0,already_on,,,0.003052789,6.464105e-09,472267.89,,0.01,
Chip#14-FC4-T12-I-V Characterizer-1 Run 75 2024-08-30T16.56.38.csv,,,,,,,,SMU-2,3999,Enabled,1,12.0,already_on,,,0.002736201,8.288368e-09,330125.47,,0.01,
Chip#14-FC4-T12-I-V Characterizer-1 Run 76 2024-08-30T16.57.08.csv,,,,,,,,SMU-2,3999,Enabled,1,12.0,already_on,,,0.00274388,3.080566e-09,890706.35,,0.01,
Chip#14-FC4-T12-I-V Characterizer-1 Run 77 2024-08-30T16.57.42.csv,,,,,,,,SMU-2,3999,Enabled,-1,12.0,already_on,,,0.003031197,4.577553e-09,662187.03,,0.01,
Chip#14-FC4-T12-I-V Characterizer-1 Run 78 2024-08-30T16.58.10.csv,,,,,,,,SMU-2,3999,Enabled,-1,12.0,already_on,,,0.003054036,6.223117e-09,490756.63,,0.01,
Chip#14-FC4-T12-I-V Characterizer-1 Run 79 2024-08-30T16.59.03.csv,,,,,,,,SMU-2,3999,Enabled,1,10.0,already_on,,,0.002476796,9.081791e-09,272721.1,,0.01,
Chip#14-FC4-T12-I-V Characterizer-1 Run 80 2024-08-30T16.59.37.csv,,,,,,,,SMU-2,3999,Enabled,1,12.0,already_on,,,0.002734503,9.461144e-09,289024.55,,0.01,
Chip#6-AA4-T12-I-V Characterizer-1 Run 129 2024-08-30T17.39.43.csv,,,,,,,,SMU-2,3999,Enabled,1,1.0,already_on,,,2.486014e-12,3.254413e-14,76.39,,0.02,
Chip#6-AA4-T12-I-V Characterizer-1 Run 130 2024-08-30T17.40.34.csv,,,,,,,,SMU-2,3999,Enabled,1,1.0,already_on,,,2.979636e-12,3.254413e-14,91.56,,0.02,
Chip#6-AA4-T12-I-V Characterizer-1 Run 131 2024-08-30T17.41.45.csv,,,,,,,,SMU-2,3999,Enabled,1,1.0,already_on,,,2.645016e-12,3.254413e-14,81.27,,0.02,
