filename,chip,contact,device_id,condition,run_number,timestamp,file_type,smu_channel,n_points,dual_sweep,sweep_sign,v_max_V,switching_state,v_set_V,v_reset_V,i_on_A,i_off_A,on_off_ratio,hysteresis_window_V,current_limit_A,error,row_block,electrode,column,tcode,channel_length,pop
Chip#14-FC4-T12-I-V Characterizer-1 Run 59 2024-08-30T16.46.07.csv,,,,,,,,SMU-2,3999,Enabled,1,0.5,already_on,,,0.0001466985,4.54794e-09,32256.04,,0.01,,F,6,4,T12,1,switching
Chip#14-FC4-T12-I-V Characterizer-1 Run 60 2024-08-30T16.46.49.csv,,,,,,,,SMU-2,3999,Enabled,1,10.0,already_on,,,0.002725835,4.917081e-09,554360.35,,0.01,,F,6,4,T12,1,switching
Chip#14-FC4-T12-I-V Characterizer-1 Run 61 2024-08-30T16.47.29.csv,,,,,,,,SMU-2,3999,Enabled,1,15.0,already_on,,,0.003451487,4.243243e-09,813407.83,,0.01,,F,6,4,T12,1,switching
Chip#14-FC4-T12-I-V Characterizer-1 Run 62 2024-08-30T16.48.03.csv,,,,,,,,SMU-2,3999,Enabled,1,15.0,already_on,,,0.003470371,1.042886e-09,3327661.43,,0.01,,F,6,4,T12,1,switching
Chip#14-FC4-T12-I-V Characterizer-1 Run 63 2024-08-30T16.48.38.csv,,,,,,,,SMU-2,3999,Enabled,-1,15.0,already_on,,,0.003784468,5.954046e-09,635612.89,,0.01,,F,6,4,T12,1,switching
Chip#14-FC4-T12-I-V Characterizer-1 Run 64 2024-08-30T16.49.07.csv,,,,,,,,SMU-2,3999,Enabled,-1,15.0,already_on,,,0.003889719,3.824437e-09,1017069.83,,0.01,,F,6,4,T12,1,switching
Chip#14-FC4-T12-I-V Characterizer-1 Run 65 2024-08-30T16.49.41.csv,,,,,,,,SMU-2,3999,Enabled,1,15.0,already_on,,,0.003386082,5.016643e-09,674969.65,,0.01,,F,6,4,T12,1,switching
Chip#14-FC4-T12-I-V Characterizer-1 Run 66 2024-08-30T16.50.26.csv,,,,,,,,SMU-2,3999,Enabled,-1,15.0,already_on,,,0.003873203,4.188499e-09,924723.39,,0.01,,F,6,4,T12,1,switching
Chip#14-FC4-T12-I-V Characterizer-1 Run 67 2024-08-30T16.50.57.csv,,,,,,,,SMU-2,3999,Enabled,-1,15.0,already_on,,,0.00399297,5.763605e-09,692790.36,,0.01,,F,6,4,T12,1,switching
Chip#14-FC4-T12-I-V Characterizer-1 Run 68 2024-08-30T16.51.31.csv,,,,,,,,SMU-2,3999,Enabled,-1,15.0,already_on,,,0.004055833,7.022667e-09,577534.56,,0.01,,F,6,4,T12,1,switching
Chip#14-FC4-T12-I-V Characterizer-1 Run 69 2024-08-30T16.52.33.csv,,,,,,,,SMU-2,3999,Enabled,1,12.0,already_on,,,0.003093123,2.721635e-09,1136494.53,,0.01,,F,6,4,T12,1,switching
Chip#14-FC4-T12-I-V Characterizer-1 Run 70 2024-08-30T16.53.10.csv,,,,,,,,SMU-2,3999,Enabled,1,12.0,already_on,,,0.002846258,7.71704e-09,368827.63,,0.01,,F,6,4,T12,1,switching
Chip#14-FC4-T12-I-V Characterizer-1 Run 71 2024-08-30T16.53.52.csv,,,,,,,,SMU-2,3999,Enabled,1,15.0,already_on,,,0.003402879,3.199528e-09,1063556.48,,0.01,,F,6,4,T12,1,switching
Chip#14-FC4-T12-I-V Characterizer-1 Run 72 2024-08-30T16.54.32.csv,,,,,,,,SMU-2,3999,Enabled,1,12.0,already_on,,,0.002734847,4.434594e-09,616707.42,,0.01,,F,6,4,T12,1,switching
Chip#14-FC4-T12-I-V Characterizer-1 Run 73 2024-08-30T16.55.20.csv,,,,,,,,SMU-2,3999,Enabled,-1,12.0,already_on,,,0.00300498,2.352494e-09,1277359.33,,0.01,,F,6,4,T12,1,switching
Chip#14-FC4-T12-I-V Characterizer-1 Run 74 2024-08-30T16.55.49.csv,,,,,,,,SMU-2,3999,Enabled,-1,12.0,already_on,,,0.003052789,6.464105e-09,472267.89,,0.01,,F,6,4,T12,1,switching
Chip#14-FC4-T12-I-V Characterizer-1 Run 75 2024-08-30T16.56.38.csv,,,,,,,,SMU-2,3999,Enabled,1,12.0,already_on,,,0.002736201,8.288368e-09,330125.47,,0.01,,F,6,4,T12,1,switching
Chip#14-FC4-T12-I-V Characterizer-1 Run 76 2024-08-30T16.57.08.csv,,,,,,,,SMU-2,3999,Enabled,1,12.0,already_on,,,0.00274388,3.080566e-09,890706.35,,0.01,,F,6,4,T12,1,switching
Chip#14-FC4-T12-I-V Characterizer-1 Run 77 2024-08-30T16.57.42.csv,,,,,,,,SMU-2,3999,Enabled,-1,12.0,already_on,,,0.003031197,4.577553e-09,662187.03,,0.01,,F,6,4,T12,1,switching
Chip#14-FC4-T12-I-V Characterizer-1 Run 78 2024-08-30T16.58.10.csv,,,,,,,,SMU-2,3999,Enabled,-1,12.0,already_on,,,0.003054036,6.223117e-09,490756.63,,0.01,,F,6,4,T12,1,switching
Chip#14-FC4-T12-I-V Characterizer-1 Run 79 2024-08-30T16.59.03.csv,,,,,,,,SMU-2,3999,Enabled,1,10.0,already_on,,,0.002476796,9.081791e-09,272721.1,,0.01,,F,6,4,T12,1,switching
Chip#14-FC4-T12-I-V Characterizer-1 Run 80 2024-08-30T16.59.37.csv,,,,,,,,SMU-2,3999,Enabled,1,12.0,already_on,,,0.002734503,9.461144e-09,289024.55,,0.01,,F,6,4,T12,1,switching
